Year,Compant,Job Title,Annual Salary,Location,Years of Experience,Gender,Masters Degree,Bachelors Degree,Doctorate Degree,Highschool,Some College,Education
2020,Expedia,Data Scientist,300000,"Seattle, WA",2,Male,0,0,1,0,0,PhD
2020,Facebook,Data Scientist,300000,"Fremont, CA",11,Male,1,0,0,0,0,Master's Degree
2021,Stripe,Data Scientist,463000,"San Francisco, CA",7,Male,0,0,0,0,0,NA
2021,Facebook,Business Analyst,120000,"Sunnyvale, CA",4,Other,0,1,0,0,0,Bachelor's Degree
2021,LendingTree,Business Analyst,110000,"San Mateo, CA",3,Female,1,0,0,0,0,Master's Degree
2021,Amazon,Business Analyst,120000,"Bangalore, KA, India",12,Female,1,0,0,0,0,Master's Degree
2021,Disney,Data Scientist,141000,"Orlando, FL",6,Male,0,0,1,0,0,PhD
2021,Ultimate Software,Data Scientist,178000,"Miami, FL",4,Male,1,0,0,0,0,Master's Degree
2020,Deloitte,Data Scientist,127000,"Boston, MA",2,Male,1,0,0,0,0,Master's Degree
2020,Airbnb,Data Scientist,300000,"London, EN, United Kingdom",6,Male,0,0,0,0,0,NA
2021,Apple,Data Scientist,227000,"Cupertino, CA",7,Female,1,0,0,0,0,Master's Degree
2021,Capgemini,Business Analyst,20000,"Mumbai, MH, India",4,Male,1,0,0,0,0,Master's Degree
2021,Capital One,Business Analyst,96000,"Arlington, VA",1,Male,0,1,0,0,0,Bachelor's Degree
2021,Tcs,Data Scientist,29000,"Bangalore, KA, India",18,Male,1,0,0,0,0,Master's Degree
2020,Booz Allen Hamilton,Data Scientist,160000,"Washington, DC",5,Male,1,0,0,0,0,Master's Degree
2021,IBM,Data Scientist,200000,"Austin, TX",8,Male,1,0,0,0,0,Master's Degree
2021,Facebook,Business Analyst,235000,"Menlo Park, CA",10,Female,0,0,1,0,0,PhD
2020,Poshmark,Data Scientist,125000,"Redwood City, CA",4,Male,1,0,0,0,0,Master's Degree
2020,JPMorgan Chase,Data Scientist,135000,"New York, NY",1,Male,0,0,0,0,0,NA
2020,Facebook,Data Scientist,235000,"Menlo Park, CA",5,Female,0,0,0,0,0,NA
2020,Google,Data Scientist,284000,"Mountain View, CA",11,Male,1,0,0,0,0,Master's Degree
2021,Accenture,Business Analyst,44000,"Dublin, DN, Ireland",5,Male,0,1,0,0,0,Bachelor's Degree
2021,ZS,Data Scientist,113000,"Bangalore, KA, India",12,Male,0,1,0,0,0,Bachelor's Degree
2020,Twitter,Data Scientist,280000,"San Francisco, CA",4,Male,0,0,1,0,0,PhD
2020,Google,Data Scientist,350000,"San Francisco, CA",7,Female,0,0,0,0,0,NA
2020,Bosch,Data Scientist,180000,"Sunnyvale, CA",3,Male,0,0,1,0,0,PhD
2021,VMware,Business Analyst,138000,"Palo Alto, CA",5,Female,1,0,0,0,0,Master's Degree
2021,Convoy,Data Scientist,148000,"Seattle, WA",4,Female,0,1,0,0,0,Bachelor's Degree
2021,ServiceNow,Business Analyst,150000,"Santa Clara, CA",5,Male,0,1,0,0,0,Bachelor's Degree
2021,Yandex,Data Scientist,35000,"Moscow, MC, Russia",2,Female,0,0,0,1,0,Highschool
2021,Bank of America Merrill Lynch,Data Scientist,97000,"New York, NY",2,Male,0,0,0,0,0,NA
2021,Capital One,Business Analyst,120000,"Richmond, VA",4,Male,1,0,0,0,0,Master's Degree
2021,Amazon,Business Analyst,139000,"Toronto, ON, Canada",7,Male,1,0,0,0,0,Master's Degree
2021,Uber,Data Scientist,190000,"Sunnyvale, CA",4,Female,1,0,0,0,0,Master's Degree
2021,Facebook,Data Scientist,165000,"Chicago, IL",4,Male,0,0,0,0,0,NA
2021,Siemens,Data Scientist,70000,"Mississippi State, MS",2,Female,1,0,0,0,0,Master's Degree
2020,Amazon,Data Scientist,176000,"Seattle, WA",5,Female,1,0,0,0,0,Master's Degree
2020,Facebook,Data Scientist,200000,"San Francisco, CA",2,Female,1,0,0,0,0,Master's Degree
2021,Spotify,Data Scientist,85000,"Stockholm, ST, Sweden",3,Female,1,0,0,0,0,Master's Degree
2021,Amazon,Business Analyst,38000,"Hyderabad, TS, India",8,Female,0,1,0,0,0,Bachelor's Degree
2021,Visa,Data Scientist,285000,"San Francisco, CA",3,Male,0,0,1,0,0,PhD
2021,Quantiphi,Business Analyst,95000,"Marlborough, MA",3,Female,1,0,0,0,0,Master's Degree
2021,Facebook,Business Analyst,126000,"Austin, TX",5,Female,0,0,0,0,0,NA
2021,Facebook,Data Scientist,255000,"Tulsa, OK",6,Male,0,0,1,0,0,PhD
2020,Twitter,Data Scientist,180000,"San Francisco, CA",1,Female,0,0,1,0,0,PhD
